nickName,movieId,rating,timestamp,review
기억의그늘,78181,10,1657562880.0,그래도 영화로 나와준게 어디여 ㅋ
여비,54898,2,1320324720.0,"이건 뭐 액션도 아니고....
로맨스도 아니고....
뭐하나 제대로 하는게 없는 졸작..."
서지현,155115,8,1699179300.0,.
꽉이,3126,8,1702019580.0,상상이 현실이 되는 따뜻한 이야기.
꿈몽이,61394,9,1363347180.0,그림체는 참 단순히 그렸지만 재미는 짱입니다.!! 
안현빈,41442,10,1639227660.0,타짜는 사기꾼들의 놀움판으로 다룬 영화입니다
기억의그늘,1465,10,1656536340.0,어렸을 때 주막같은 거 술집 마지막 있던 시기에 저거 영화로 틀어줬던 거 같다. 무서웠음 ㅜㅜ
여비,54923,1,1286768820.0,"극장에서 돈주고 보기에는 아깝던데...명절 특집 드라마로 만들었으면 좋았을 작품...흥보하는 것만큼 웃기지도 않고, 감동 포인트도 너무 약하고...보다가 잘 뻔 했음...."
서지현,143705,10,1699165680.0,.
꽉이,143538,9,1701988860.0,"인간성 상실에 대해서 생각해 보게
되는 영화. 박보영의 연기는 청춘물에만 적합한 듯.
대사 톤이 자연스럽지 않아 집중하다가도…."
꿈몽이,43256,7,1363347120.0,나오는 캐릭터들은 좋은데 약간의 재미가 아쉬운...
안현빈,41921,10,1638277320.0,제 성(姓)을 가진 안상훈(감독)이 한국 공포영화 아랑을 연출했습니다. 재밌네요
기억의그늘,132861,1,1656224760.0,조용히 하고 봐.
여비,3175,10,1277839320.0,"영화를 보면서 예전의 아름다웠던, 슬펐던 감성들이 다시 나타나는...
영화를 보는게 아니라 나 자신을 보는듯한 영화..."
서지현,144054,7,1699097280.0,.
꽉이,167898,5,1701862140.0,"인생은 어떻게 결정될까? 선택  혹은 행동.
지금 내 선택이 후회스럽더라도 앞을 보고 현실을 
살아나가야 하지 않을까?"
꿈몽이,60951,8,1363347000.0,괜찮아요~~~^^ 
안현빈,85378,10,1638263340.0,이병헌의 역할의 성(姓)이 안(安)이라는 성(姓)이 있네요
기억의그늘,159431,10,1655830980.0,조국에게 새벽은 올 까?
서지현,42253,2,1698967740.0,.
꽉이,161412,7,1701095580.0,"초, 중반 살짝 지루.
범죄를 막고 범인을 잡는 과정은 볼만 함."
꿈몽이,69603,4,1362829740.0,코믹없음..감동 없음..재미도 그다지..간혹 나오는 풍경그림은 좋았어요~
안현빈,62834,10,1637586720.0,한국 공포영화중 기생령이 너무 무섭습니다. 다른 영화를 보시길 바랍니다
기억의그늘,122749,1,1655077080.0,꼭 100 번 보길 바란다.
서지현,38689,2,1698395700.0,.
꽉이,169936,6,1701060180.0,범인이 반전인가? 요즘은 예상 가능한 범죄
꿈몽이,41651,9,1361539980.0,"결말이 아쉽네...그냥 신나게 권선징악으로 가든가..초록이의 통쾌한 부모의 복수를 재밌게 그렸으면 시원했을텐데...무슨 멜로 드라마도 아니고,,,어른은 좋지만 애들은 좀 이해하기 힘든 결말..
그게 아쉬운 작품.."
안현빈,116081,10,1636635540.0,싸반은 태국 공포영화로 알려져 있는 영화입니다.  저는 태국 공포영화를 좋아하는 편이라라서 좋아한 영화입니다
기억의그늘,40855,10,1654715700.0,어렸을 때 명동으로 지하철 항상 타러가면 반가운 얼굴의 배우분들 여기 4명이나 계시네 ㄷ ㄷ
서지현,81422,6,1698301320.0,.
꽉이,70146,7,1700894400.0,유쾌한 로맨틱 코메디
꿈몽이,55425,3,1361539800.0,"아..덧글에 속았네..완전 지루...마당을 나온 암탉이 훨씬낫네..재밌는 부분도 없고,,애들도 자네..자.."
안현빈,145344,10,1635670500.0,좋은 사람은 김태훈(배우)가 영화에 출연하게 되면서 영화가 시작되는 이야기입니다.  기운충만 코믹호러 점쟁이들에서 청년 악령이라는 역할이 좋았습니다
기억의그늘,3691,10,1654701480.0,잠이 안 오면 이거를 틀어라. 완벽한 고전 명작이다. 꼭 500번 봐라. 그럼 23년이 지나가있다.
꽉이,3707,2,1700876160.0,"국어책 읽는 듯한 대사가 청순하게 느껴지나.
과거에 연기 정말 못한 배우를 발견."
서지현,55033,2,1698224280.0,.
안현빈,89836,10,1634552820.0,제 성씨를 가졌던 안(安)이라는 성씨를 가진 안용훈(감독)의 작품입니다
기억의그늘,112027,10,1654701360.0,눈물 없인 볼 수 없음 위떠서 다 보게 됐는데 감동실화 에 감동적임.
꽉이,161375,4,1700813220.0,류준열이 출연하지 않아서 의아했어요.
서지현,112938,10,1698032520.0,.
안현빈,110097,10,1634508780.0,"제 이름이 현빈이라는 이름인데 똑같은 이름을 텔런트,영화배우의 이름입니다. 안(安)이라는 성씨와 이름을 안현빈이라는 이름이 되었습니다"
기억의그늘,117708,10,1654701120.0,변우민씨 전성기 엄청났다는데요.
꽉이,140011,8,1700773800.0,사랑은 엉망진창 일 수도 있지만 대담하게 만들어 나가는 것.
서지현,112481,8,1598068320.0,미국.미국.미국. 돈!돈!돈!
늑돌이,149626,2,1680920100.0,"우울증 유발 하는 내용은 듯.
영화가 전하고자 하는 내용은?"
안현빈,69714,10,1634507880.0,피에타는 자비를 배풀어달라고 하는 이야기의 스토리가 담겨져 있으니까 재밌게 보시구요.  안(安)이라는 성씨가 영화를 추천합니다
기억의그늘,110546,9,1654700940.0,양씨 친구.
꽉이,75083,9,1700478000.0,평화를 원했지만…..
서지현,111490,8,1594044720.0,"그리운 해리포터시리즈 오마주 느낌도 나고, 1편도 생각나고 넘 잼있네요. 워낙 탄탄한 시리즈라 믿고 봤어요~~~"
늑돌이,52842,10,1633356600.0,"평소 방송에서 보던 김창환님의 이미지와는 전혀 다르네요....
재미있게 잘 봤습니다....^^
무서워용~~~~덜덜...."
안현빈,72864,10,1633243140.0,여진구의 연기가 왠지 괴물 소리와 인간의 목소리를 굉장히 잘한것 같습니다. 그리고 연기도 잘한것 같고. 김윤석외에 연기를 잘한것 같습니다
기억의그늘,95498,10,1654700340.0,다음생엔 남유럽 순혈로 태어나 동양여행 매일 해보고싶다.
꽉이,156501,6,1700303400.0,살짝 유치하지만 기분 좋은 로맨스
늑돌이,124806,0,1591918860.0,"이둘은 나이도 같고 같은 여자인데 어찌 이런 다른 삶을 살수가.....
https://movie.daum.net/moviedb/main?movieId=141021"
기억의그늘,39412,10,1654700100.0,genius
꽉이,73833,4,1700220720.0,살인을 강요하는 엄마
안현빈,143697,10,1631950800.0,기적(2020년 영화)에서 제가 좋아하는 배우가 나옵니다.  그리고 1996년 이수경이라는 배우는 제 친구가 나오니까 영화를 재밌게 보시길 바랍니다
기억의그늘,92866,10,1653573240.0,무순덩어리 중국에서 사는 국민은 제대로 인권 처우를 받을지는 의문
휴면 사용자,63346,8,1373762760.0,"제가 원래 쿵후 팬더를 볼려고 했는데 평점이 안좋더군요.. 중국영화라서 그련지
그련데 이건좀 재밌겠다 싶어서 봤는데 재밌더라구요..
근데 총쏘고 그련 장면은 조금 뺏으면 하네요.."
꽉이,94074,10,1700131740.0,"시저야 말로 진정한 영웅,  사람보다 더 바른 지도자."
안현빈,137628,10,1631411220.0,보이스는 OCN 드라마 제목하고 똑같지만 보이스의 영화 제목입니다. 범죄 영화로는 영화 마스터에도 범죄 영화가 등장합니다
기억의그늘,81535,10,1653304980.0,더 명작임 두 번 보삼. 레전드임.
꽉이,119238,3,1700124600.0,so so
